,PageRank,W_InDegree,Hub,Authority,Count
iranintltv,✓,✓,,✓,3
officialrezapahlavi,✓,✓,,✓,3
avatoday1,✓,✓,,✓,3
indypersian,✓,✓,,✓,3
gord_afarid_tv,✓,✓,,✓,3
shemiranisaied,,,✓,✓,2
52063150785,✓,✓,,,2
yasamankhodajo,,✓,,✓,2
manotoofficial,,✓,,✓,2
farzan43,✓,,,,1
avatodaypersian.official,✓,,,,1
houshang.kaivani.hafshejani,,,✓,,1
minoo_m_10,,,✓,,1
asan_mhajrt,,,✓,,1
neda_aghasoltan_88,,,✓,,1
azaddokht_,,,✓,,1
barghandan.mohsen,,,,✓,1
par.e.simorgh,✓,,,,1
reza.davoudi.pahlavism,,✓,,,1
shah.mihan_abadi,,,✓,,1
etehad_etehad_mardomei,,,,✓,1
iranaryaeee2022,,✓,,,1
farzam1213,✓,,,,1
iran.janam.2022,,,✓,,1
azadii___khah,,,✓,,1
official_rezamohammadi,,,✓,,1
