زمان ایجاد,متن مطلب,نام کاربری منبع,مشاهده مطلب,آدرس مطلب,زمان ایجاد میلادی
1404-10-18 20:53:54,مشهد هاشمیه غوغاست!,choonkehghashange,71,https://telegram.me/choonkehghashange/13816,2026-01-08 17:23:54
1404-10-18 20:34:33,یوسف آباد تهران، مردم به خیابانها اومدن,choonkehghashange,57,https://telegram.me/choonkehghashange/13815,2026-01-08 17:04:33
1404-10-18 20:34:18,✌️✌️✌️✌️✌️شروع تجمع در شهریار۱۸ دی!,choonkehghashange,56,https://telegram.me/choonkehghashange/13814,2026-01-08 17:04:18
1404-10-18 20:33:50,منیریه تهران با شعار تا آخوند کفن نشود، این وطن وطن نشود!,choonkehghashange,58,https://telegram.me/choonkehghashange/13813,2026-01-08 17:03:50
1404-10-18 20:33:33,قائمشهر میدان طالقانی,choonkehghashange,61,https://telegram.me/choonkehghashange/13812,2026-01-08 17:03:33
1404-10-18 20:30:59,کرمانشاه و زنجان خیلی خیلی شلوغ گزارش میشه !,choonkehghashange,76,https://telegram.me/choonkehghashange/13811,2026-01-08 17:00:59
1404-10-18 20:29:10,نوشته : الان ساعت ۲۰و۲۰دقیقه هست تو پرند فاز شش همه از بالکن منازل و در کوچه وخیابان شعار مرگ بر خامنه ای سر میدن!انقلاب به خانه ها کشیده شد!!!,choonkehghashange,79,https://telegram.me/choonkehghashange/13810,2026-01-08 16:59:10
1404-10-18 20:26:41,مردم تبریز با شعار شاه رضا پهلوی به خیابان آمدن❤️,choonkehghashange,53,https://telegram.me/choonkehghashange/13809,2026-01-08 16:56:41
1404-10-18 20:25:44,تهران محله و خیابان شریعتی شروع شده!,choonkehghashange,55,https://telegram.me/choonkehghashange/13808,2026-01-08 16:55:44
1404-10-18 20:25:30,تهرانسر مردم همین  الان موتورهای سرکوبگرا رو همرو آتیش زدند,choonkehghashange,56,https://telegram.me/choonkehghashange/13807,2026-01-08 16:55:30
1404-10-18 20:24:50,خرم آبادخیلی شلوغه قوم دلیر لر ازساعت هفت شب شروع کردن خیابون انقلاب زیر پای جمعیت میلرزه😍,choonkehghashange,55,https://telegram.me/choonkehghashange/13806,2026-01-08 16:54:50
1404-10-18 20:23:04,مردم فردیس رو گرفتن نیروهای حکومتی هم فرارکردن 😍بینظیره،جمعیت بی سابقه س😍😍😍,choonkehghashange,57,https://telegram.me/choonkehghashange/13805,2026-01-08 16:53:04
1404-10-18 20:11:57,مجیدیه شمالی، هروی ، مجیدیه جنوبی قیامته مردم ریختن بیرون!,choonkehghashange,68,https://telegram.me/choonkehghashange/13804,2026-01-08 16:41:57
1404-10-18 20:08:30,بچه ها سر ساعت هشت برقای ما رو قط کردن,choonkehghashange,71,https://telegram.me/choonkehghashange/13803,2026-01-08 16:38:30
1404-10-18 20:01:31,بیرون بیا رفیق!خطر کن با پول خُردی که دیگر پول نیستبا جای خوابی که در زیر باران استو با کاری که فردا از دست اش خواهی داد.پا به خیابان بگذار! بِرَزم!برای صبر کردن خیلی دیر شده است.به یاری ما بشتاب تا به خود کمک کرده باشیهمبستگی بکن!بیرون بیا رفیقدر برابر سلاح ها از دستمزد ات دفاع کن!اگر تو بدانی که چیزی برای از دست دادن نداریآنگاه پلیس، اسلحه کم خواهد آورد!پا به خیابان بگذار! بِرَزم!برای صبر کردن خیلی دیر شده است.به یاری ما بشتاب تا به خود کمک کرده باشیهمبستگی بکن!برتولت برشت,choonkehghashange,83,https://telegram.me/choonkehghashange/13802,2026-01-08 16:31:31
1404-10-18 20:01:15,تهران هم اکنون❤️,choonkehghashange,64,https://telegram.me/choonkehghashange/13801,2026-01-08 16:31:15
1404-10-18 19:50:00,درگز خراسان رضویخمینی شهر اصفهانبیجارنیشابورآبادانگیلانغرببیرجنددزفولآستانه اشرفیهقروه کردستانوکیل آباددرود لرستانقزوینهمدانزنجانمشهدایذهاردبیلدهگلانکرمانشاهکامیارانسنندجسرپل ذهاباسلام آباد تالش و.....از ساعاتی پیش و هم اکنون به خیابان آمدند❤️,choonkehghashange,78,https://telegram.me/choonkehghashange/13800,2026-01-08 16:20:00
1404-10-18 19:43:49,تهران صادقیهاکباتانجنت آبادنازی آبادهفت حوضدانشگاه خواجه نصیردردشت و ... شروع کردن,choonkehghashange,62,https://telegram.me/choonkehghashange/13799,2026-01-08 16:13:49
