nodedef_name,label_VARCHAR,views_INT,followers_INT,importance_DOUBLE,posts_INT,positive_INT,negative_INT,neutral_INT
1402136762,girlyy1,335,132679,1.2829179743877657,84,0,84,0
1931978651,esemray,54,123,1.0152061303367983,3,0,3,0
1003871086,iaumah,0,984,1.012837224705172,3,3,0,0
1544465440,teext_post,147,20850,1.0106864215565794,1,0,1,0
1581457894,haalvsh,184372,64496,2.736976250366404,57,2,55,0
1112374302,gilanbehtarnovin,5,122,1.0045394048947511,1,0,1,0
1692684976,premiumket,0,711,1.0043213737826424,1,0,1,0
1429604158,rahehaghighatyekihast,0,23,1.0043213737826424,1,0,1,0
1522075293,angry_birdes,0,7315,1.08278537031645,21,0,17,4
1510231481,selflow,0,67,1.0043213737826424,1,0,1,0
3289713295,qwertyuiffd,0,1554,1.0043213737826424,1,0,1,0
2017487785,yekan2023,74,220,1.0486700470626285,11,1,10,0
1826268931,sedalihasani,4939,5790,1.184420894102228,2,0,2,0
1265225900,bnbuni_news,3536,2196,1.1601236879314927,6,1,5,0
1247899282,shahidesmaeilitakmar,0,83,1.0086001717619173,2,2,0,0
1801673075,griswalda_ir,0,128,1.0086001717619173,2,0,2,0
1909126464,gorgous_chaos,19,103,1.0051493128276983,1,0,1,0
1409720144,mmdfah,0,28161,1.0899051114393978,23,0,22,1
1293688091,bozwiz,84,4227,1.0079699096336379,1,0,1,0
1172709212,revolution_01,1486,738,1.1441142994957942,20,1,17,2
2005275480,mikstayrr,0,141,1.0043213737826424,1,0,1,0
1022988748,mhpaknam,3,50,1.004452205528069,1,0,1,0
2501806862,frv444,0,5,1.0043213737826424,1,1,0,0
2090124727,secretaurora,33,333,1.00575836910357,1,0,1,0
1395793903,ftaoa6,9,249,1.0047137513468343,1,1,0,0
2318839341,adambarfissd,0,812,1.0043213737826424,1,1,0,0
1938796609,gazanett,0,0,1.012837224705172,3,1,2,0
2998751903,akhabare_m,0,227,1.0043213737826424,1,0,1,0
2476294323,aprilll2226,8,1006,1.004670171266797,1,1,0,0
1133333907,akhbar_sardasht,3178,10850,1.1389242797632897,4,3,1,0
3396486261,fdghyfdxvhu,0,146,1.0043213737826424,1,1,0,0
2422952600,matnakermanshah,74,760,1.0118296555736688,2,1,1,0
1528500186,twite_hub,27661,74553,1.5961219252681405,3,0,3,0
1474084531,rotpy,0,248,1.0043213737826424,1,1,0,0
2090687304,hoopoear,577,0,1.04181081845488,4,0,4,0
1034919436,skaghazkonan,1559,5842,1.0810253452323706,4,0,4,0
1033296061,pol2okhtariha,5912,14047,1.2120598095499304,2,1,1,0
1591764855,official_thalia,0,15,1.0043213737826424,1,1,0,0
2131327085,imbnh7,0,175,1.0170333392987803,4,1,3,0
2124706091,whtdeo,8,136,1.004670171266797,1,0,1,0
1338025653,klmly,2617,10634,1.115089323944998,3,2,1,0
1257042681,dolarmashad,70017,75009,1.9276138431528702,3,1,2,0
1108993361,drmojkhak,0,87,1.0293837776852095,7,0,7,0
1242132007,nostalzhi,0,24391,1.0334237554869496,8,0,8,0
1324394039,moj366,0,172,1.0086001717619173,2,0,2,0
1907794320,calmlaand,13,42,1.0048880281369628,1,0,1,0
1133949794,pendarghoftarkerdar,65,30,1.0071473123990873,1,0,1,0
1814517848,samartgroup1,90,699,1.0571761467675205,13,0,13,0
1836809801,freakconfig,95952,1459879,2.0338604126989765,1,0,1,0
1947235499,palm_channell,0,155,1.0043213737826424,1,0,1,0
2003894762,novianenglish,164,773,1.0157255853985416,2,0,2,0
1726282585,wasdeirdrehere,0,114,1.0043213737826424,1,0,1,0
3555901562,matina_mari16,0,85,1.0043213737826424,1,0,0,1
1119603881,manocher_voosog,0,1324,1.0043213737826424,1,1,0,0
1458998313,etymology1,27,116,1.0097812576329497,2,0,2,0
1453926310,no_vqx,0,35769,1.0043213737826424,1,1,0,0
1503078324,mmwwpl,19,8919,1.0051493128276983,1,0,1,0
1418272950,texttttt98,12,515,1.0091254920196149,2,0,2,0
1675287236,bobbychanell,2799,3029,1.1486137608120517,9,1,7,1
1007387946,panjakiha,1928,2337,1.1956249328133925,29,22,5,2
2133007903,feellandchannel,0,3677,1.0043213737826424,1,0,1,0
2086992881,itsjustmehdi,14,54,1.0092129841779085,2,0,2,0
1676388263,bargasas,0,200,1.0043213737826424,1,0,1,0
1005786091,royan_pr,0,1943,1.0170333392987803,4,3,0,1
2007944386,samurai_2023,57,159,1.006800491006643,1,0,1,0
3533335314,ribatalsahaba,31,136,1.0056714131163023,1,1,0,0
1427214748,nasim_sahar_1399,9,1223,1.021588266751208,5,1,4,0
1346908901,amwajeshgh,0,2013,1.0170333392987803,4,0,4,0
1143257151,unisti_official,13667,22910,1.4200722374611892,8,2,6,0
1833968468,theabyssllp,78,539,1.0077103096473865,1,0,1,0
1509027325,thnabah,181,0,1.0121454766207554,1,0,1,0
1064378880,marematomemari,0,391,1.0043213737826424,1,0,1,0
1581719438,maeilczechme,0,3447,1.0043213737826424,1,1,0,0
1947003833,nostalgic_king_cinema,92,1072,1.0126116185704643,2,0,2,0
1640002747,fallenhalo9,0,40,1.0043213737826424,1,0,1,0
1181989654,salamati_tv,18,191520,1.0136282782823054,3,1,2,0
1046434826,pilatees,0,466,1.0086001717619173,2,1,1,0
2072345098,moojmedia,45,215,1.0105668826744354,2,0,2,0
2046245358,shiyaism,567,2177,1.0498636913690755,6,0,6,0
1462549333,zxhxq,9,422,1.0047137513468343,1,0,1,0
1605903163,newnewsroom,20,550,1.0422963240135987,10,1,9,0
1371957809,sedayebokan,3528,21157,1.1457554944374724,3,2,1,0
1380584249,twitter_huby,0,347,1.0043213737826424,1,0,0,1
1279023391,kolbe_ye_sher,66,633,1.0114816678778744,2,2,0,0
1239893511,academy_of_gondishapur,1358,13363,1.0776629711601615,5,0,5,0
1000647903,payameazadi22,0,144,1.0043213737826424,1,1,0,0
1526474962,mileapoedit,39,222,1.0060191330993948,1,1,0,0
1237072741,amozeshgaharia8,64,635,1.007103974803474,1,1,0,0
2149796152,music_kurdii2020,0,29426,1.0043213737826424,1,0,1,0
1069648644,worldzz,0,135,1.0043213737826424,1,0,1,0
1357522667,persiannewsfa,0,7344,1.021189299069938,5,0,5,0
1001367573,gta_v,0,8010,1.0086001717619173,2,1,1,0
1821989507,quiz7ir,0,3846,1.0043213737826424,1,1,0,0
2105917247,tanhayikhateratam,0,434,1.0043213737826424,1,0,1,0
1532378952,bubblmovie,3106,452279,1.1270805989660708,2,0,2,0
1004952222,gouyaketab,0,16733,1.0170333392987803,4,1,3,0
1147041036,heyatnewstel,0,82,1.0043213737826424,1,0,1,0
1342918889,ahangclipshakh,2406,114409,1.0983577685172006,1,0,1,0
1378275492,ordinarygriefs,10219,3518,1.3169894297240665,2,1,1,0
1847228063,vpnserverrr,2177,8162,1.506067576676292,144,12,107,25
1446653688,ffcesteghlal,69,2208,1.007320619734512,1,1,0,0
1335509954,cinematakk,0,1952,1.0043213737826424,1,0,1,0
1078676165,isaacfinances,2840,9772,1.113355547562748,1,1,0,0
1002370017,shajaretayebeh,0,586,1.0043213737826424,1,1,0,0
3055139993,tt_mrh10,14,81,1.0049315864563368,1,1,0,0
2376364702,mashrootiran,2,5,1.004408599306519,1,0,1,0
1553762715,spiderman_universe,403,1826,1.025906337143921,2,0,2,0
1275084443,mizanplus,33629,89792,1.8844610679174747,41,1,40,0
