id,degree,eigenvector,closeness,page_name,predicted_eigen,eigen_residual,degree_rank,eigen_rank,closeness_rank,betweenness,betweenness_rank,bonacich_neutral,bonacich_neutral_rank,bonacich_supportive,bonacich_supportive_rank,bonacich_suppressive,bonacich_suppressive_rank,rank_change_supportive,rank_change_suppressive
4,0.12422360248447205,0.0015519487617054496,0.5135915622955919,Mark Bailey MP - Labor for Miller,0.06600173731294168,-0.06444978855123623,343.0,1156.0,974.0,6.46643722612214e-05,2122.0,0.31422199062133105,333.0,0.20361909079315002,348.0,0.0009306934929423298,1432.0,15.0,1099.0
5,0.055900621118012424,0.00015845565458133968,0.5149425448098847,Victor Dominello MP,0.025429482295923914,-0.025271026641342575,1122.0,2290.0,950.0,0.00015401143486475327,1663.0,0.22289595707549403,1351.0,0.11451585436884411,1430.0,0.00014551527146114288,2282.0,79.0,931.0
6,0.043478260869565216,0.0006052052323612586,0.45859777990170286,Jean-Claude Poissant,0.01805270865646614,-0.01744750342410488,1472.0,1688.0,1901.0,9.768682108565167e-05,1884.0,0.23551567505850338,1082.0,0.13185573299086156,1002.0,0.0006014240341282243,1648.0,-80.0,566.0
7,0.006211180124223602,2.891213760220514e-06,0.3208498407253962,Deputado Ademir Camilo,-0.0040776122619071925,0.004080503475667413,3825.0,4468.0,4234.0,3.961746809825165e-06,3312.0,0.18292868302523727,3865.0,0.08547486698989824,3831.0,2.8604039316492763e-06,4461.0,-34.0,596.0
11,0.009316770186335404,4.43982601984875e-06,0.3340164951886357,Eliziane Gama,-0.002233418852042748,0.0022378586780625966,3418.0,4307.0,4004.0,2.8910399682176744e-06,3417.0,0.1844470998325923,3611.0,0.08636129257068705,3622.0,4.39811312437748e-06,4301.0,11.0,690.0
17,0.006211180124223602,3.0179740690494806e-08,0.19811969626988704,Digvijaya Singh,-0.0040776122619071925,0.0040776424416478834,3825.0,5518.0,5461.0,1.1062038747944432e-06,3686.0,0.18025276874142468,4436.0,0.08311225632360991,4550.0,2.9508970397031795e-08,5519.0,114.0,1083.0
20,0.0,6.38015725638812e-05,0.44015231033202534,Françoise Guégot,-0.007765999081636081,0.007829800654199961,4944.0,2802.0,2290.0,0.0,4316.0,0.17877321486753314,4780.0,0.0827330915023519,4667.0,6.372651924346002e-05,2774.0,-113.0,-2006.0
33,0.003105590062111801,1.4482005547188405e-06,0.2989938818546273,Lance Gooden,-0.005921805671771637,0.005923253872326356,4292.0,4720.0,4651.0,0.0,4316.0,0.17890160832987348,4722.0,0.0823905939826872,4778.0,1.43565789196452e-06,4718.0,56.0,-4.0
34,0.0,0.001195714273853154,0.4639974832582575,Ivan ŠTEFANEC,-0.007765999081636081,0.008961713355489235,4944.0,1374.0,1808.0,0.0,4316.0,0.1843003285280793,3642.0,0.08846224752919377,3205.0,0.0011954336876897245,1336.0,-437.0,-2306.0
40,0.012422360248447204,3.4028042767315837e-06,0.28248274231743403,張宏陸,-0.0003892254421783044,0.00039262824645503597,3051.0,4419.0,4963.0,0.0,4316.0,0.18771940862687095,3138.0,0.08881771195820694,3135.0,3.3609521041801914e-06,4416.0,-3.0,1278.0
