,PageRank,W_InDegree,Hub,Authority,Count
choonkehghashange,✓,✓,,✓,3
akhbarmashhad,✓,✓,,,2
kianmeli1,,✓,,✓,2
javanmardi77,,✓,,✓,2
eterazebazar,,✓,,✓,2
mojahedin_org,,✓,,,1
tasnimnews,✓,,,,1
isna94,✓,,,,1
akhbarefori,✓,,,,1
mehrnews,✓,,,,1
sepehrazadi,,,,✓,1
freedomessenger,,,,✓,1
ghiam_mashhad1404,,,✓,,1
begooazadi,,,,✓,1
officialrezapahlavi,✓,,,,1
poshtpardeha,,,✓,,1
farsna,✓,,,,1
iribnews,✓,,,,1
iranintltv,,✓,,,1
irdamavand,✓,,,,1
snidc,,✓,,,1
chekhabarre,,,,✓,1
forfreedom2,,,✓,,1
iran_uk1,,✓,,,1
protest_iran,,,,✓,1
piroozi1401,,,✓,,1
ir_protests,,,✓,,1
rasuyb,,,✓,,1
storyghyam,,✓,,,1
protest_shora,,,✓,,1
streetnews_online,,,✓,,1
kafekhiabooniha,,,✓,,1
hadafazadi2022,,,,✓,1
kabar2025,,,✓,,1
