,PageRank,W_InDegree,Hub,Authority,Count
tanhayektiger,✓,✓,,✓,3
iranintl,✓,✓,,✓,3
ario1401,✓,✓,,✓,3
pahlavireza,✓,✓,,,2
aryammehr_2,,✓,,✓,2
irannewsagency0,,✓,,✓,2
sharifizarchi,✓,✓,,,2
gohardaddy,✓,,,✓,2
indypersian,,✓,,✓,2
aamirhoossein,,✓,,,1
manotonews,,✓,,,1
shahab_ava,,,✓,,1
anasar1360,,,✓,,1
spyssee,✓,,,,1
donyaodarya,,,✓,,1
iranintlbrk,✓,,,,1
marianmeyer0,,,,✓,1
mseyedsafi,,,✓,,1
scharllinn,,,,✓,1
taze_maman,,,✓,,1
rast38864339,,,✓,,1
salvador1394,,,✓,,1
yasamankhodajo,✓,,,,1
meonmarsdo17176,,,✓,,1
myrkrone,,,✓,,1
2002kingfox,,,,✓,1
newerauptea,,,✓,,1
rayzareei,✓,,,,1
